gene_id	gene_name	control_rep1	control_rep2	control_rep3	nilotinib_rep1	nilotinib_rep2	nilotinib_rep3
ABCF2	ABCF2	100.527092	93.241911	81.456589	21.226592	20.994038	28.671931
ABCF3	ABCF3	32.683785	30.535289	30.700437	15.075842	15.295493	21.81062
ABCG1	ABCG1	0	0	0.010906	0	0	0
ABCG2	ABCG2	0.260513	0.179211	0.16424	2.50773	2.938445	2.726058
ABCG4	ABCG4	0.042431	0.100434	0.145994	0.03721	0.044872	0.028232
ABCG5	ABCG5	0.042648	0.035854	0.043512	0.031133	0.015985	0.031302
ABCG8	ABCG8	0.023686	0.014942	0	0	0	0
ABHD1	ABHD1	0.300144	0.277611	0.327413	0.077419	0	0.0691
ABHD10	ABHD10	10.300541	9.562397	9.769857	5.438412	6.102478	6.910245
ABHD11	ABHD11	14.608818	18.311658	23.901967	12.52786	15.954772	20.771137
ABHD12	ABHD12	22.064777	23.740574	22.001883	9.372502	11.776731	13.254038
ABHD12B	ABHD12B	0.05791	0.057167	0.127726	0.077018	0	0.012094
ABHD13	ABHD13	3.575077	3.042279	3.259802	2.171019	2.433553	2.585584
ABHD14A	ABHD14A	9.961765	10.910553	11.296271	12.253339	12.40847	15.656322
ABHD14A-ACY1	ABHD14A-ACY1	0.558545	0	0	0.663311	0.670857	0
ABHD14B	ABHD14B	56.120454	65.615807	77.411374	48.582094	53.462029	53.611714
ABHD15	ABHD15	4.011877	4.507089	4.50449	3.560062	4.471822	5.474626
ABHD16A	ABHD16A	96.124272	91.261468	96.204426	126.122964	123.213309	143.645127
ABHD16B	ABHD16B	14.082785	13.424598	16.28284	11.63179	14.845241	20.077158
ABHD17A	ABHD17A	110.288035	127.456927	131.062877	115.694661	120.616067	120.241348
ABHD17B	ABHD17B	10.833386	11.857734	11.59878	6.470451	5.897916	6.166116
ABHD17C	ABHD17C	0.149273	0.342302	0.179978	0.044584	0.122117	0.388762
ABHD2	ABHD2	29.060896	31.823024	33.884479	13.962819	17.622466	25.967987
ABHD3	ABHD3	17.737815	18.312425	19.111357	14.803862	17.149332	21.353237
ABHD4	ABHD4	28.003886	27.03857	26.576149	64.465448	52.823445	38.290362
ABHD5	ABHD5	51.394069	45.701417	37.772264	106.692074	103.944459	93.104926
ABHD6	ABHD6	6.163	5.672225	4.830576	1.88481	1.940414	2.554905
ABHD8	ABHD8	26.856593	28.775256	26.376398	24.224489	24.456168	25.157936
ABI1	ABI1	32.662724	34.648346	34.338645	19.894353	25.566516	27.690214
ABI2	ABI2	14.649982	15.659327	16.555008	10.933557	11.10534	10.983459
ABI3	ABI3	0	0	0.019228	0.041224	0.042262	0
ABI3BP	ABI3BP	0.063846	0.059685	0.023006	0.014804	0	0.007502
ABL1	ABL1	134.133047	131.474334	126.940066	95.220337	98.789138	113.007308
ABL2	ABL2	8.965907	8.46302	9.103894	5.246273	5.42243	6.68929
ABLIM1	ABLIM1	0.149665	0.137491	0.045142	0.653774	0.560278	0.527186
ABLIM2	ABLIM2	0.012462	0.062042	0	0.01365	0	0
ABLIM3	ABLIM3	2.733477	3.257	1.471089	0.03341	0.067911	0.084577
ABO	ABO	17.867373	21.350133	23.872866	23.777317	25.199563	38.103303
ABR	ABR	1.063559	1.071139	0.963515	0.332525	0.581089	0.45652
ABRA	ABRA	0	0	0	0	0	0
ABRACL	ABRACL	2.806018	2.341337	2.769935	1.338994	1.303465	2.439869
ABT1	ABT1	42.951998	42.898109	42.86548	21.121371	20.64732	24.865506
ABTB1	ABTB1	2.676499	3.226719	3.289542	21.430128	20.365535	11.731814
ABTB2	ABTB2	0.293958	0.348136	0.518277	0.55743	0.539539	0.510881
AC000099.1	AC000099.1	0	0	0	0	0	0
AC000124.1	AC000124.1	0	0	0	0	0	0
AC002116.7	AC002116.7	5.474254	5.440692	6.957971	3.004704	2.495914	4.56639
AC002398.5	AC002398.5	0.059053	0.111689	0.120503	0.064657	0.016596	0.129939
AC002454.1	AC002454.1	1.022653	0.060575	0.792381	0.480977	0.918409	0.389482
AC002463.3	AC002463.3	0.124962	0.039251	0.095746	0.068203	0	0
AC002480.3	AC002480.3	6.296874	6.91035	10.592976	0.444997	0.280189	0.447946
AC002511.1	AC002511.1	0	0	0.009511	0.051104	0.042058	0.010331
AC003051.1	AC003051.1	0	0	0	0.086835	0	0
AC003102.3	AC003102.3	0.148676	0.120207	0.167064	3.76322	3.560437	2.2363
AC003665.1	AC003665.1	1.6009	1.53357	1.246885	1.063711	1.364145	2.067126
AC003958.2	AC003958.2	0	0	0	0	0	0
AC003984.1	AC003984.1	0.029599	0.018691	0	0	0.008352	0.024652
AC004019.13	AC004019.13	0.054251	0.068355	0.073822	0	0.020291	0.019813
AC004053.1	AC004053.1	0	0	0	0	0	0.011574
AC004603.4	AC004603.4	0	0	0	0	0	0
AC004862.6	AC004862.6	0	0	0	0	0	0
AC004893.11	AC004893.11	2.273078	2.628221	1.948142	1.66833	1.695264	2.318723
AC005022.1	AC005022.1	0	0	0	0	0	0
AC005029.1	AC005029.1	0	0	0	0	0	0
AC005062.2	AC005062.2	0	0	0.157388	0	0	0
AC005235.1	AC005235.1	0	0	0	0	0	0
AC005264.2	AC005264.2	0.13272	0.1674	0.352037	0	0	0.029258
AC005358.3	AC005358.3	0	0	0	0	0	0
AC005550.4	AC005550.4	0	0	0	0	0	0
