pathway,z_score
MAPK,-18.837468339732066
PI3K,-14.621477334674328
EGFR,-13.437281273705377
Estrogen,-7.969613377830815
TGFb,-5.207581460124348
VEGF,-1.5457763119076713
WNT,-1.2838702244300628
NFkB,-1.1342434725720785
Androgen,-1.0066261507405132
TNFa,0.0839150930833648
JAK.STAT,0.4812272831721035
p53,2.462850518941943
Trail,3.687049730304619
Hypoxia,4.298618456803493
