gene_id,log2FoldChange,padj
HBZ,2.9879066665750944,8.998058900399336e-96
ALAS2,3.4560457271295433,4.6178999856635654e-35
HBG2,1.5230534204118191,4.905141340041851e-35
HBG1,1.3850129182715802,1.7664809666099469e-29
BCL2,-1.6197860570208351,1.5486539275447269e-9
MYC,-1.5059338989657076,3.430901174452844e-8
CCND1,-2.334239513342676,3.767332346662702e-5
MCM2,0.15144063819591402,0.06325486030272445
E2F1,0.21480030524837496,0.1156039830755203
CDK4,0.09253068806675635,0.3664133654678377
