gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PDE4DIP,3888.1284485886795,-2.7340126127539723,0.08744133369455294,-31.266821962074953,1.3188536524294436e-214,1.77781472347489e-210
CA1,4118.113908984757,4.070861993753673,0.13103280123328961,31.0675033689156,6.620492827636625e-212,4.462212165827086e-208
ID1,854.2562806405014,-3.846951029964696,0.13601237857943854,-28.283830267094913,5.463673120825732e-176,2.455010455624362e-172
IGF1,482.99632221815796,-4.7205206404852476,0.1918054741497525,-24.610979751285367,9.637021162170192e-134,3.2476761316513548e-130
TUBB1,2849.4576707002034,2.904295610556609,0.12854521107292569,22.593573002956582,5.012519445934969e-113,1.3513752426240677e-109
HBZ,63630.18647941526,2.9879066665750944,0.14138972289027155,21.132417586629842,4.005070727180713e-99,8.998058900399336e-96
HBE1,9257.045776492341,2.4048644135363073,0.11483320694711466,20.9422385516399,2.2083586379018415e-97,4.252667776988118e-94
APOL4,387.18438418297677,-4.091322565527778,0.20292041898967583,-20.162202433338837,2.103092458518538e-90,3.5437107926037365e-87
CISH,1496.5147769834168,-3.1643390998402903,0.16116062861774116,-19.634690724282443,7.815520048174108e-86,1.1705912249931886e-82
SCIN,8941.450020254115,2.2604677279298637,0.11733860336424869,19.264484688920323,1.0672243898780944e-82,1.4386184775556712e-79
SCN9A,676.3839250329473,-2.189789714371793,0.11478158648845625,-19.077883320527402,3.85559974295539e-81,4.72486223045806e-78
PPOX,1924.0855695982034,2.6686155023455593,0.14000946591039923,19.06025056943916,5.401552121600394e-81,6.067743549931108e-78
HEMGN,10953.011803286938,1.5786610854382355,0.0832403797873691,18.96508749084037,3.314753641851639e-80,3.4371445455507762e-77
TMEM56,2164.7864755413484,2.028990124726869,0.107174915893137,18.93157655238987,6.2658767274036334e-80,6.033144163242927e-77
NR2F2,1267.9674317304848,-1.923742922347508,0.10355152441786707,-18.577639809381502,4.87477959488194e-77,4.380801929267236e-74
NQO2,1235.5340137433366,-1.9928279340796808,0.10984570542649279,-18.142065057001737,1.4835077120452987e-73,1.2498552473981642e-70
PDCD4,1864.0013175982324,1.9287985482129197,0.10686353416900903,18.049174240882266,8.007901118736029e-73,6.349794534150687e-70
VIM,8057.387541919824,-1.8004218296854488,0.10080317918320629,-17.86076435558887,2.3835278061034384e-71,1.784997490348575e-68
TSPAN32,827.1488154151666,3.134256582884911,0.17724276052367494,17.68341100998739,5.628556212294678e-70,3.993312512722751e-67
GYPA,4128.993990717075,2.387029080851061,0.1367930084555741,17.449934816122493,3.446257916219519e-68,2.3227778355319556e-65
RAB11FIP1,1389.300390470629,-1.5847749462087495,0.09172457510633418,-17.277539245851578,6.9448404458752e-67,4.4579261528760813e-64
CILP2,448.0574635598905,-2.7189356135407667,0.15779022929237616,-17.23133064533886,1.5455465115976805e-66,9.46998498924397e-64
FAM122C,777.0611795575132,2.4948051956776487,0.1454880506564474,17.14783574610421,6.523721954652591e-66,3.823468345596388e-63
SLC30A10,1068.7436622333119,2.661354099831522,0.15567607703714226,17.095459690936057,1.6042604498133772e-65,9.010596193118468e-63
FCGR2A,428.43554670676076,-2.6480454286451347,0.15494004747187928,-17.0907746050984,1.7384915980542337e-65,9.373946696708429e-63
LOC100996724,522.4240292274992,-2.402449666512469,0.14093741595171816,-17.04621622504766,3.7290566320039396e-65,1.9333724384389657e-62
PKLR,2884.4690691378705,2.3217835782429117,0.13648027669425417,17.01186159993079,6.707224781435926e-65,3.3486440760650473e-62
SPTA1,9986.476654651642,1.6941593498079761,0.09976626060070376,16.981285452689658,1.1298406762973e-64,5.439375827317001e-62
C17orf99,568.4232547938,3.5773069189570386,0.21228147118294602,16.85171531468276,1.0191527404928177e-63,4.579392980614394e-61
PBXIP1,710.7195568156982,2.587050365116278,0.15350461446456962,16.85324167055183,9.931821590186773e-64,4.579392980614394e-61
ARHGAP23,576.9574124614752,2.0340113379185896,0.12104045082221593,16.80439327598129,2.2661946230576488e-63,9.854291457682937e-61
SEPP1,1339.7022073662927,1.8773109991683237,0.11206816328141668,16.751510368329757,5.520667898545763e-63,2.3255813522624026e-60
RHCE,688.211793807603,2.276060366209922,0.13627216649145743,16.702312914006566,1.2608117843882702e-62,5.15022510713754e-60
SLC4A1,4914.688867531531,6.983488377921494,0.41963356481180875,16.641872727824687,3.4660644572940926e-62,1.3741926142448344e-59
TF,334.6903646746785,4.6392866235655,0.27912403643648087,16.62087824034905,4.9206486836314575e-62,1.8951526930100587e-59
DYSF,1528.2299738073507,1.8823785815285237,0.11352555194594338,16.581100459435262,9.546455312018937e-62,3.5746171557226466e-59
TXNIP,3997.419056675571,2.0204264421473517,0.12216915121527194,16.53794286077339,1.955882605206565e-61,7.12575608599581e-59
ICAM4,1315.1371753972624,1.6793572036274345,0.10240966129087938,16.398425524106273,1.9625885333650926e-60,6.96202458677933e-58
HBA2,12626.047196273425,2.1983967888528095,0.1347084590055941,16.319663999433885,7.152821022493132e-60,2.4723083944412157e-57
PRMT1,3039.6154860161587,-1.853173321586011,0.11408795092446929,-16.24337457697776,2.4885006692977136e-59,8.386247255533295e-57
TP53INP1,829.6254713726431,2.512301422306096,0.1548632728882183,16.222706491031595,3.484937086325676e-59,1.145779315211466e-56
UCA1,2734.0857456152316,1.3992657762306475,0.08639564266602098,16.1960225429398,5.379598482305575e-59,1.7265949414637893e-56
PHLDA2,210.2025326465979,-3.245895344635528,0.2009951875223152,-16.149119711013764,1.1519387782649189e-58,3.611194123490955e-56
BMF,224.7094892478788,4.019972233974083,0.24966500944959824,16.1014642894347,2.491380620572836e-58,7.63268426484587e-56
KIF21B,672.5014549101656,-2.5495297985457315,0.15968527434581514,-15.965966861944066,2.2059659200084916e-57,6.608093467047659e-55
ACP5,772.1634467886544,2.3037098718918054,0.14487094187434804,15.901807788962252,6.156228815915648e-57,1.804042705185716e-54
PLEKHA7,272.31062015221664,3.1514045758950004,0.1983460161766056,15.888418817996408,7.622614250316193e-57,2.186230640303453e-54
COL18A1,5623.69867446598,2.036457015625657,0.1284758804265442,15.850889745721547,1.3860446476806587e-56,3.8924753855698495e-54
