pathway,pval,padj,NES,size
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.3197969543147208,0.651952613406358,-1.077103875780942,94
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.39655172413793105,0.7038926681783824,-1.0706137243185103,19
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.34338358458961477,0.6611254242833191,-1.0561290568163795,101
KEGG_PATHWAYS_IN_CANCER,0.34609250398724084,0.6611254242833191,-1.0488215755036105,225
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.3912280701754386,0.7038926681783824,-1.0451697494559469,63
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.3968253968253968,0.7038926681783824,-1.0388055995149772,54
KEGG_DILATED_CARDIOMYOPATHY,0.4213381555153707,0.7053863502448341,-1.0346252858203102,39
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.4272890484739677,0.7074007580291243,-1.0241133182234885,38
KEGG_GLUTATHIONE_METABOLISM,0.41785714285714287,0.7053863502448341,-1.0239736386775455,33
KEGG_OOCYTE_MEIOSIS,0.41471571906354515,0.7053863502448341,-1.0224351765120019,89
KEGG_RIBOSOME,0.40301003344481606,0.7053863502448341,-1.0202637715891614,84
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.4203152364273205,0.7053863502448341,-1.0184279970488181,70
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.45027124773960214,0.7292436512304427,-1.0011271104657453,37
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.47368421052631576,0.7589134125636672,-0.9980276297809274,63
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.4973730297723292,0.7641981486114586,-0.9864322419977698,66
KEGG_FOCAL_ADHESION,0.492436974789916,0.7641981486114586,-0.9846428429116587,130
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.5026269702276708,0.7641981486114586,-0.9769039849132939,62
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.5114503816793893,0.7697586552548383,-0.9629975686970695,17
KEGG_PYRUVATE_METABOLISM,0.5178571428571429,0.7716071428571429,-0.9584344597146234,31
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.5736842105263158,0.8219129554655871,-0.943448783141249,63
KEGG_LONG_TERM_POTENTIATION,0.5563258232235702,0.8047820161195336,-0.9421808167979335,47
KEGG_ENDOCYTOSIS,0.5897435897435898,0.8368742368742369,-0.9419583054772989,147
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.551923076923077,0.8047820161195336,-0.9391834257402747,16
KEGG_LYSINE_DEGRADATION,0.6119133574007221,0.8521036472215663,-0.9096652080325677,34
KEGG_GAP_JUNCTION,0.6357267950963222,0.8770675228643704,-0.905181531504022,57
KEGG_COLORECTAL_CANCER,0.6421052631578947,0.8777402221149203,-0.9014023759468492,55
KEGG_INSULIN_SIGNALING_PATHWAY,0.7166947723440135,0.9042093861744587,-0.8914338661211044,110
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.6074766355140186,0.8521036472215663,-0.8902000606635053,20
KEGG_P53_SIGNALING_PATHWAY,0.6666666666666666,0.8869047619047619,-0.8840170151583414,54
KEGG_ADHERENS_JUNCTION,0.6888111888111889,0.8973421416500231,-0.8834776502041621,58
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.715008431703204,0.9042093861744587,-0.8800628119583955,81
KEGG_VEGF_SIGNALING_PATHWAY,0.6925795053003534,0.8973421416500231,-0.8789562408074956,61
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.7342908438061041,0.9042093861744587,-0.8578680309796823,43
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.7215189873417721,0.9042093861744587,-0.8459368012969289,39
KEGG_GNRH_SIGNALING_PATHWAY,0.7608318890814558,0.923748755543488,-0.8453041073810318,68
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.773286467486819,0.923748755543488,-0.8336945114207613,56
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.77737881508079,0.923748755543488,-0.8161715007806678,43
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.830155979202773,0.9370700068273726,-0.8023440998995734,68
KEGG_GLYCEROLIPID_METABOLISM,0.8240574506283662,0.9370700068273726,-0.7812636554154855,28
KEGG_STEROID_BIOSYNTHESIS,0.7816764132553606,0.923748755543488,-0.772615618098338,15
KEGG_WNT_SIGNALING_PATHWAY,0.9182282793867121,0.9520312798016404,-0.7714085293453999,105
KEGG_ARACHIDONIC_ACID_METABOLISM,0.7873563218390804,0.923748755543488,-0.7662726373501771,19
KEGG_BASE_EXCISION_REPAIR,0.875,0.9502551020408164,-0.7425004412202368,33
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.8858695652173914,0.9502551020408164,-0.7343031312519896,36
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.851063829787234,0.9463321689425215,-0.7268944283609705,18
KEGG_DNA_REPLICATION,0.8882978723404256,0.9502551020408164,-0.7176503752991867,35
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.9037433155080213,0.9520312798016404,-0.7034949065184144,26
KEGG_MISMATCH_REPAIR,0.998158379373849,0.998158379373849,-0.4799673532568723,22
KEGG_BASAL_CELL_CARCINOMA,0.9769585253456221,0.9835595964628223,0.6111963673902842,27
KEGG_TRYPTOPHAN_METABOLISM,0.9375,0.9520312798016404,0.6565649637253642,19
KEGG_PROPANOATE_METABOLISM,0.9213483146067416,0.9520312798016404,0.6901072354778947,25
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.9348837209302325,0.9520312798016404,0.7161675807603204,48
KEGG_GLIOMA,0.9392523364485982,0.9520312798016404,0.7218320464258531,51
KEGG_HOMOLOGOUS_RECOMBINATION,0.8674157303370786,0.9502551020408164,0.7381525321841765,25
KEGG_PROSTATE_CANCER,0.8928571428571429,0.9502551020408164,0.788351060471834,75
KEGG_MELANOGENESIS,0.8681818181818182,0.9502551020408164,0.7917789939482993,59
KEGG_CELL_CYCLE,0.9156626506024096,0.9520312798016404,0.793066370659536,114
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.8441860465116279,0.9457422626333275,0.7931138905968168,48
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.7321063394683026,0.9042093861744587,0.8046054607552419,15
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.8262806236080178,0.9370700068273726,0.805423559492859,39
KEGG_RETINOL_METABOLISM,0.7259713701431493,0.9042093861744587,0.8057038766038163,15
KEGG_MELANOMA,0.8211764705882353,0.9370700068273726,0.8106390536214266,47
KEGG_PANCREATIC_CANCER,0.8110599078341014,0.9370700068273726,0.8181044069035813,60
KEGG_MTOR_SIGNALING_PATHWAY,0.7680180180180181,0.923748755543488,0.8520495532924411,42
KEGG_THYROID_CANCER,0.6659242761692651,0.8869047619047619,0.8676885986376428,24
KEGG_AXON_GUIDANCE,0.687041564792176,0.8973421416500231,0.8995208349502043,83
KEGG_SMALL_CELL_LUNG_CANCER,0.6525821596244131,0.883952198036705,0.9043566150410061,67
KEGG_BUTANOATE_METABOLISM,0.5456570155902004,0.8047820161195336,0.9487719826376194,24
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.49897750511247446,0.7641981486114586,0.9582599427810143,15
KEGG_BLADDER_CANCER,0.48464912280701755,0.7641981486114586,0.9862698940210057,32
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.4329896907216495,0.7089611419508327,1.0115695183345825,18
KEGG_RENAL_CELL_CARCINOMA,0.39443155452436196,0.7038926681783824,1.0206124235367195,57
KEGG_ERBB_SIGNALING_PATHWAY,0.3544600938967136,0.6685386581089915,1.0517379071186481,67
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.365296803652968,0.680365296803653,1.0531548248829419,35
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.3237885462555066,0.651952613406358,1.065842503571506,23
KEGG_SPHINGOLIPID_METABOLISM,0.3438914027149321,0.6611254242833191,1.0752159566898536,30
KEGG_FATTY_ACID_METABOLISM,0.2876712328767123,0.6212030970815962,1.1177998394617106,29
KEGG_OLFACTORY_TRANSDUCTION,0.271889400921659,0.6046495632436893,1.1337161600195265,27
