pathway,z_score_nilotinib
MAPK,-11.441876840841001
Estrogen,-7.34644751753816
TGFb,-5.269201162305566
PI3K,-5.015163185287081
Hypoxia,-4.234452929121456
EGFR,-4.1897718211487485
TNFa,-3.548685964290158
VEGF,-2.423498870071154
Androgen,-2.2771853551661323
NFkB,-2.2328890308597202
WNT,-1.1515616771622328
p53,-0.06803510886226417
Trail,1.5815915770629971
JAK.STAT,3.8495646413987705
