gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PKM,13970.341315409454,-4.260449885552152,0.09621338176718365,-44.2812611644974,0,0
CCDC88B,7938.743317424273,3.7599836112521903,0.09993962134611536,37.622552103038764,9.1987278709001e-310,7.106477216663872e-306
PIGQ,11519.241605716301,3.655803740106218,0.09795196294480928,37.32241427531237,7.106768686019013e-305,3.6602227655893253e-301
LOC102723772,1120.507259956941,6.188296305818314,0.1781684784268409,34.73283467681034,2.517479363247429e-264,9.724393410384005e-261
INHBE,1957.4779036573266,-7.049124747208361,0.20327664080563437,-34.67749525607556,1.7208678080130744e-263,5.317825700322002e-260
MYB,7644.1192547618275,-3.0118561434105726,0.088110598468468,-34.18267717802894,4.374139949111351e-256,1.126413939228658e-252
PANX2,11199.899571342263,3.813833876616616,0.1131231553953545,33.71399837007406,3.604787261729331e-249,7.956795425854271e-246
PDE4DIP,6244.2875459429515,-3.5932845623235328,0.10814850195340756,-33.225467735758265,4.616918673578114e-242,8.91700130318193e-239
LOC100996723,1101.1585122735808,-4.716249770663157,0.14265332747306028,-33.060916658630404,1.0840197145652084e-239,1.8610209566385595e-236
TANGO2,18158.07901969001,2.7946421859463686,0.08558400471003673,32.65379080372283,7.079454581047417e-234,1.0938465273176362e-230
HK2,1396.0472079105875,-5.8843552370718,0.18296041340006358,-32.16190392074046,6.020954368741321e-227,8.457251450129287e-224
COL18A1,52816.39836188176,3.5065928011170304,0.11002798173219393,31.870009300470606,6.95381496813646e-223,8.95361625605637e-220
TNFRSF10B,2671.2070195543542,-4.291629291074232,0.13529958651415305,-31.71945607258234,8.37830581669414e-221,9.957938705672397e-218
SLC2A3,3289.7578705692467,-5.712276904582555,0.18227755546909527,-31.338344920645252,1.4024411233007821e-215,1.5477941282943132e-212
SLC39A14,2525.2543857126125,-3.3500398635123365,0.10967682360588248,-30.544647021785725,6.660292722020005e-205,6.860545523195406e-202
S100A11,1914.1751022820365,-3.629688457980098,0.11890063216624568,-30.527074514667877,1.1396762341647319e-204,1.1005710933799546e-201
HHEX,2402.6226770352732,-3.638152928829604,0.11933248506339902,-30.487531763850594,3.812862830271875e-204,3.4654437406194555e-201
HBA1,392089.8862840592,4.931250773509527,0.1669798119002591,29.532017777424958,1.1177369339765997e-191,9.594529648262469e-189
MAGIX,1151.1324733504787,3.6565558322134026,0.12424637654706529,29.429879034164646,2.2780609438805194e-190,1.8525431391525214e-187
SOCS2,2303.855298947435,-3.2931032847063793,0.11369571527974429,-28.964181074052043,1.8602757136684903e-184,1.437156002594592e-181
KLF10,4658.9189055369825,3.2239426837168392,0.11152409863832312,28.908036227866837,9.461905374880669e-184,6.961709521299106e-181
DUSP21,1083.905095157577,4.9333421468688945,0.17138055210905748,28.785892484052553,3.221360875814599e-182,2.2624203132823352e-179
KEL,14443.349635946695,3.595421011277308,0.12611832338625895,28.508315958702653,9.239413338836492e-179,6.206877195580984e-176
LOC101929354,714.4260963944567,6.716288195300922,0.24500770735174543,27.41255884517412,1.9429941237073498e-165,1.2508834252250941e-162
